country_code,year,value
HRV,1990,1642.07155197418
HRV,2000,1624.88270913514
HRV,2015,1648.41307213538
HTI,1990,1006.2307852477
HTI,2000,1205.5777111173
HTI,2015,1326.1041259626
HUN,1990,3743.427075308
HUN,2000,3899.667157369
HUN,2015,3928.8336649
IBD,1990,815083.3491762311
IBD,2000,981821.5175688436
IBD,2015,1173543.4134871133
IBT,1990,956987.4807344541
IBT,2000,1162078.1585352551
IBT,2015,1417003.2875332895
IDA,1990,141904.13155822313
IDA,2000,180256.64096641156
IDA,2015,243459.87404617626
IDB,1990,42971.74065038041
IDB,2000,60036.38185721967
IDB,2015,92359.49653175977
IDN,1990,43593.45193756
IDN,2000,56810.41510525
IDN,2015,67755.1345869
IDX,1990,98932.3909078427
IDX,2000,120220.25910919187
IDX,2015,151100.37751441653
IMN,1990,29.69530250086
IMN,2000,31.50907463166
IMN,2015,38.31179957601
IND,1990,98799.60601408
IND,2000,125554.29766387
IND,2015,171839.18292269
IRL,1990,854.4926512758
IRL,2000,976.5798207758
IRL,2015,1261.3899500179
IRN,1990,9480.5418464223
IRN,2000,13197.1021135427
IRN,2015,16217.1048470459
IRQ,1990,3488.0363771179
IRQ,2000,4482.2222871462
IRQ,2015,6572.9688676668
ISL,1990,70.714890102567
ISL,2000,94.28706086496
ISL,2015,107.56003068127
ISR,1990,1730.5817759416
ISR,2000,2233.6876193126
ISR,2015,2743.7336323641
ITA,1990,18122.179719957
ITA,2000,19312.583044819
ITA,2015,20916.723170164
JAM,1990,765.2656167902
JAM,2000,900.4417523259
JAM,2015,1022.3342016496
JOR,1990,1053.32480507606
JOR,2000,1569.50169499835
JOR,2015,2170.09018740478
JPN,1990,50992.76311205
JPN,2000,52716.86291099
JPN,2015,53452.06097573
KAZ,1990,5659.33129713
KAZ,2000,5709.25132111
KAZ,2015,6363.38993307
KEN,1990,1418.43057029915
KEN,2000,2197.79003314991
KEN,2015,3416.83689169865
KGZ,1990,1486.192497193
KGZ,2000,1788.118350045
KGZ,2015,2136.338095941
KHM,1990,949.82475996064
KHM,2000,1517.03565426344
KHM,2015,1838.75313177294
KIR,1990,1.0857272413564
KIR,2000,1.333440939431
KIR,2015,5.187512818374
KNA,1990,6.238609624907
KNA,2000,10.186737127954
KNA,2015,11.739576243214
KOR,1990,8036.643562421
KOR,2000,10324.50824179
KOR,2015,12473.407807643
KWT,1990,596.2975091176
KWT,2000,636.6046667311
KWT,2015,772.9420164889
LAC,1990,80706.1572365035
LAC,2000,97836.88470256247
LAC,2015,115380.33788153481
LAO,1990,241.3509244966
LAO,2000,370.37106097
LAO,2015,542.173193503
LBN,1990,904.83060504933
LBN,2000,1160.2180874966
LBN,2015,1871.96834566438
LBR,1990,426.2282873041
LBR,2000,516.7008009045
LBR,2015,652.5563654118
LBY,1990,2116.5925070777
LBY,2000,2510.010888559
LBY,2015,2958.151043108
LCA,1990,46.14321278874
LCA,2000,60.46926231646
LCA,2015,72.57370005602
LCN,1990,93818.81555359045
LCN,2000,113330.88473318102
LCN,2015,133009.18636059813
LDC,1990,85962.05521243993
LDC,2000,103871.03813315286
LDC,2015,131095.76377778026
LIC,1990,25414.0912046777
LIC,2000,33879.42088761628
LIC,2015,47352.272537703466
LIE,1990,26.8682018407
LIE,2000,32.3760868274
LIE,2015,38.3559506517
LKA,1990,2517.5845284628
LKA,2000,3035.13508699
LKA,2015,3627.830500845
LMC,1990,265720.64135809965
LMC,2000,333828.3957024303
LMC,2015,441764.56575525075
LMY,1990,875721.896120962
LMY,2000,1075957.478712973
LMY,2015,1327431.9618238218
LSO,1990,192.607617298
LSO,2000,231.5941755232
LSO,2015,249.9415822788
LTE,1990,553685.6621832938
LTE,2000,654515.766162938
LTE,2015,762627.5022863444
LTU,1990,1187.72445591401
LTU,2000,1242.43317353756
LTU,2015,1185.85017138378
LUX,1990,187.0335327125
LUX,2000,208.0600101873
LUX,2015,283.4979814884
LVA,1990,810.5150964718
LVA,2000,783.9410577866
LVA,2015,676.2682094441
MAC,1990,14.949691924263
MAC,2000,17.169205778277
MAC,2015,17.764426984834
MAF,1990,13.37127775513
MAF,2000,18.70554393342
MAF,2015,21.50833037026
MAR,1990,3059.0001060017
MAR,2000,3858.4642123147
MAR,2015,4621.3482508848
MCO,1990,2.7765329661831
MCO,2000,2.7765329661831
MCO,2015,2.7765329661831
MDA,1990,1610.963555587
MDA,2000,1568.589936448
MDA,2015,1576.100252165
MDG,1990,768.5422974461
MDG,2000,1127.09160013056
MDG,2015,1660.5857750213
MDV,1990,14.255989044599
MDV,2000,14.791442647616
MDV,2015,14.354530593667
MEA,1990,67063.22623257038
MEA,2000,92309.9480069639
MEA,2015,133427.86027451832
MEX,1990,17098.266372247
MEX,2000,21841.732487621
MEX,2015,28588.131604943
MHL,1990,4.307763281416
MHL,2000,6.569878989044
MHL,2015,8.618052053411
MIC,1990,850307.8049162846
MIC,2000,1042078.0578253566
MIC,2015,1280079.6892861172
MKD,1990,569.744911154
MKD,2000,641.064557603
MKD,2015,701.267863161
MLI,1990,923.694601746
MLI,2000,1118.293872487
MLI,2015,1505.01865677
MLT,1990,158.463668072689
MLT,2000,166.251930471697
MLT,2015,173.523418827177
MMR,1990,3340.8028190284
MMR,2000,4901.510559999
MMR,2015,5783.529448955
MNA,1990,57270.422092756555
MNA,2000,80152.28545102436
MNA,2015,117209.08282416823
MNE,1990,259.26134938785
MNE,2000,281.62536653705
MNE,2015,294.64919953349
MNG,1990,305.607481828
MNG,2000,331.570432837
MNG,2015,354.977871666
MNP,1990,25.55856573486
MNP,2000,30.64031680955
MNP,2015,25.55856573486
MOZ,1990,1721.5172686525
MOZ,2000,2231.822115818
MOZ,2015,2943.1988638828
MRT,1990,254.95171308699
MRT,2000,298.94962576366
MRT,2015,373.5388785956
MUS,1990,311.35414443167
MUS,2000,323.57012570872
MUS,2015,475.80354239703
MWI,1990,401.659663474
MWI,2000,530.135803877
MWI,2015,770.86144894
MYS,1990,7531.974293058
MYS,2000,9469.324429869
MYS,2015,11417.635397424
NAC,1990,157772.40937789337
NAC,2000,178742.82704886983
NAC,2015,200598.5282287308
NAM,1990,168.039303432976
NAM,2000,267.30578628942
NAM,2015,342.317614387356
NCL,1990,42.71228931099
NCL,2000,50.13103992308
NCL,2015,89.0001338187
NER,1990,612.223880013
NER,2000,792.176001659
NER,2015,1313.950219126
NGA,1990,15004.189086348
NGA,2000,18771.468907667
NGA,2015,25189.868658669
NIC,1990,680.79419993099
NIC,2000,818.2837511584
NIC,2015,992.82935686176
NLD,1990,6941.632232746
NLD,2000,7724.295165979
NLD,2015,8322.489140267
NOR,1990,1674.28988287485
NOR,2000,1793.04451938675
NOR,2015,2007.78451002665
NPL,1990,2178.460216849
NPL,2000,1888.331119057
NPL,2015,3041.754743167
NRU,1990,6.88847097568
NRU,2000,6.98027799837
NRU,2015,6.98027799837
NZL,1990,1740.8617892955
NZL,2000,1840.8777891166
NZL,2015,1970.2923058736
OED,1990,431595.8730750947
OED,2000,477478.844511294
OED,2015,526444.5459192857
OMN,1990,712.62397543885
OMN,2000,983.31574603109
OMN,2015,1500.4942670095
OSS,1990,1911.636272932095
OSS,2000,2279.6429223875944
OSS,2015,2813.979061904487
PAK,1990,9769.5392771029
PAK,2000,18284.7254305911
PAK,2015,39082.0219712556
PAN,1990,696.37726884993
PAN,2000,868.8400231741
PAN,2015,1070.9807851155
PER,1990,2584.0411999446
PER,2000,2964.8029127171
PER,2015,3457.8679334828
PHL,1990,7769.962461667
PHL,2000,9407.764673368
PHL,2015,12151.465331954
PLW,1990,4.89320180006
PLW,2000,4.89320180006
PLW,2015,4.89320180006
PNG,1990,279.63313532208
PNG,2000,320.6937924141
PNG,2015,415.3979694972
POL,1990,12463.9897523084
POL,2000,13503.1028531104
POL,2015,14773.8047216808
PRE,1990,50882.64025782958
PRE,2000,66778.55795386904
PRE,2015,93257.70121623111
PRI,1990,2004.0693856062
PRI,2000,2284.4595736402
PRI,2015,2390.7313461592
PRK,1990,2224.5307896724
PRK,2000,2475.1887327447
PRK,2015,2678.3449841565
PRT,1990,3898.8335381078
PRT,2000,4069.3364688918
PRT,2015,4165.1466845851
PRY,1990,936.066655896
PRY,2000,1124.887336219
PRY,2015,1320.83127312
PSE,1990,857.08968036155
PSE,2000,1211.92105441191
PSE,2015,1629.72001470289
PSS,1990,172.1635082146984
PSS,2000,191.108774832135
PSS,2015,292.561495650696
PST,1990,408819.7716006243
PST,2000,443802.51692689373
PST,2015,479395.74441198184
PYF,1990,66.53763311363
PYF,2000,77.33339107498
PYF,2015,84.93705085884
QAT,1990,349.3405435906
QAT,2000,416.72050111764
QAT,2015,678.0532012112
ROU,1990,5701.55089285253
ROU,2000,5588.37440686281
ROU,2015,5124.83437695558
RUS,1990,51076.668331033
RUS,2000,52919.540650472
RUS,2015,52886.954870232
RWA,1990,794.945566324
RWA,2000,991.884960256
RWA,2015,1506.225742599
SAS,1990,149819.81523179004
SAS,2000,181616.21718237043
SAS,2015,235521.7461594447
SAU,1990,4925.5365305273
SAU,2000,6050.7449820894
SAU,2015,7756.634131739
SDN,1990,2248.01110046374
SDN,2000,2928.38470101642
SDN,2015,3789.64446851927
SEN,1990,855.2445520298
SEN,2000,1047.2480902162
SEN,2015,1566.4038213702
SGP,1990,420.68631243053
SGP,2000,427.637087243538
SGP,2015,454.083842663704
SLB,1990,13.704975608692
SLB,2000,21.96598239238
SLB,2015,37.833488396338
SLE,1990,376.9897640845
SLE,2000,487.4739076209
SLE,2015,713.58051596621
SLV,1990,928.5674049939
SLV,2000,1259.0012304551
SLV,2015,1559.8746058082
SMR,1990,17.4402822107
SMR,2000,18.6112290323
SMR,2015,22.0137373377
SOM,1990,807.22632517012
SOM,2000,895.76272176713
SOM,2015,1451.27476161036
SRB,1990,2406.75905632
SRB,2000,2511.142793042
SRB,2015,2323.390620357
SSA,1990,63382.869098893054
SSA,2000,82041.71146748462
SSA,2015,109257.07982186295
SSD,1990,337.133830868
SSD,2000,448.18736254
SSD,2015,666.354721617
