country_code,year,value
ABW,1990,2.3333333333333335
ABW,1991,2.3333333333333335
ABW,1992,2.3333333333333335
ABW,1993,2.3333333333333335
ABW,1994,2.3333333333333335
ABW,1995,2.3333333333333335
ABW,1996,2.3333333333333335
ABW,1997,2.3333333333333335
ABW,1998,2.3333333333333335
ABW,1999,2.3333333333333335
ABW,2000,2.3333333333333335
ABW,2001,2.3333333333333335
ABW,2002,2.3333333333333335
ABW,2003,2.3333333333333335
ABW,2004,2.3333333333333335
ABW,2005,2.3333333333333335
ABW,2006,2.3333333333333335
ABW,2007,2.3333333333333335
ABW,2008,2.3333333333333335
ABW,2009,2.3333333333333335
ABW,2010,2.3333333333333335
ABW,2011,2.3333333333333335
ABW,2012,2.3333333333333335
ABW,2013,2.3333333333333335
ABW,2014,2.3333333333333335
ABW,2015,2.3333333333333335
ABW,2016,2.3333333333333335
ABW,2017,2.3333333333333335
ABW,2018,2.3333333333333335
ABW,2019,2.3333333333333335
ABW,2020,2.3333333333333335
ABW,2021,2.3333333333333335
ABW,2022,2.3333333333333335
ABW,2023,2.3333333333333335
AFE,1990,42.975249875818086
AFE,1991,42.799179836048324
AFE,1992,42.62310979627857
AFE,1993,40.26968998929205
AFE,1994,40.10327039785051
AFE,1995,39.93685080640896
AFE,1996,39.77043121496742
AFE,1997,39.60401162352587
AFE,1998,39.437592032084325
AFE,1999,39.271172440642786
AFE,2000,39.10475284920124
AFE,2001,38.9039800957902
AFE,2002,38.70320734237915
AFE,2003,38.502434588968114
AFE,2004,37.840646765595935
AFE,2005,37.64215276320776
AFE,2006,37.44382127019019
AFE,2007,37.24532517507857
AFE,2008,37.04708443557098
AFE,2009,36.848632294473056
AFE,2010,36.64823508297613
AFE,2011,36.4089620173726
AFE,2012,31.89065408989194
AFE,2013,31.680634937141207
AFE,2014,31.470633901231366
AFE,2015,31.26041973222869
AFE,2016,31.039681559375495
AFE,2017,30.824316261538492
AFE,2018,30.61151181969719
AFE,2019,30.391625862283504
AFE,2020,30.17425243566029
AFE,2021,29.95519378732366
AFE,2022,29.73720510217048
AFG,1990,1.8527819940818424
AFG,1991,1.8527819940818424
AFG,1992,1.8527819940818424
AFG,1993,1.8527819940818424
AFG,1994,1.8527819940818424
AFG,1995,1.8527819940818424
AFG,1996,1.8527819940818424
AFG,1997,1.8527819940818424
AFG,1998,1.8527819940818424
AFG,1999,1.8527819940818424
AFG,2000,1.8527819940818424
AFG,2001,1.8527819940818424
AFG,2002,1.8527819940818424
AFG,2003,1.8527819940818424
AFG,2004,1.8527819940818424
AFG,2005,1.8527819940818424
AFG,2006,1.8527819940818424
AFG,2007,1.8527819940818424
AFG,2008,1.8527819940818424
AFG,2009,1.8527819940818424
AFG,2010,1.8527819940818424
AFG,2011,1.8527819940818424
AFG,2012,1.8527819940818424
AFG,2013,1.8527819940818424
AFG,2014,1.8527819940818424
AFG,2015,1.8527819940818424
AFG,2016,1.8527819940818424
AFG,2017,1.8527819940818424
AFG,2018,1.8527819940818424
AFG,2019,1.8527819940818424
AFG,2020,1.8527819940818424
AFG,2021,1.8527819940818424
AFG,2022,1.8527819940818424
AFG,2023,1.8527819940818424
AFW,1990,22.77690812732567
AFW,1991,22.6587456692513
AFW,1992,22.540583211176926
AFW,1993,22.42242075310255
AFW,1994,22.30425829502818
AFW,1995,22.186095836953807
AFW,1996,22.067933378879435
AFW,1997,21.94977092080506
AFW,1998,21.831608462730685
AFW,1999,21.713446004656316
AFW,2000,21.595283546581943
AFW,2001,21.50315634472649
AFW,2002,21.41102914287104
AFW,2003,21.31890194101559
AFW,2004,21.226774739160135
AFW,2005,21.134647537304687
